"	""ID""	""Area""	""Group""	""a1""	""b1""	""c1""	""d1""	""a2""	""b2""	""c2""	""d2""	""a3""	""b3""	""c3""	""d3""	""a4""	""b4""	""c4""	""d4""	""a5""	""b5""	""c5""	""d5""	""a6""	""b6""	""c6""	""d6""	""a7""	""b7""	""c7""	""d7""	""a8""	""b8""	""c8""	""d8""	""a9""	""b9""	""c9""	""d9""	""a10""	""b10""	""c10""	""d10""	""a11""	""b11""	""c11""	""d11""	""a12""	""b12""	""c12""	""d12""	""a13""	""b13""	""c13""	""d13""	""a14""	""b14""	""c14""	""d14""	""a15""	""b15""	""c15""	""d15""	""a16""	""b16""	""c16""	""d16""	""a17""	""b17""	""c17""	""d17""	""a18""	""b18""	""c18""	""d18""	""a19""	""b19""	""c19""	""d19""	""a20""	""b20""	""c20""	""d20""	""a21""	""b21""	""c21""	""d21""	""a22""	""b22""	""c22""	""d22""	""a23""	""b23""	""c23""	""d23""	""a24""	""b24""	""c24""	""d24""	""a25""	""b25""	""c25""	""d25""	""a26""	""b26""	""c26""	""d26""	""a27""	""b27""	""c27""	""d27""	""a28""	""b28""	""c28""	""d28""	""a29""	""b29""	""c29""	""d29""	""a30""	""b30""	""c30""	""d30""	""a31""	""b31""	""c31""	""d31""	""a32""	""b32""	""c32""	""d32""	""a33""	""b33""	""c33""	""d33""	""a34""	""b34""	""c34""	""d34""	""a35""	""b35""	""c35""	""d35""	""a36""	""b36""	""c36""	""d36""	""a37""	""b37""	""c37""	""d37""	""a38""	""b38""	""c38""	""d38""	""a39""	""b39""	""c39""	""d39""	""a40""	""b40""	""c40""	""d40""	""a41""	""b41""	""c41""	""d41""	""a42""	""b42""	""c42""	""d42""	""a43""	""b43""	""c43""	""d43""	""a44""	""b44""	""c44""	""d44""	""a45""	""b45""	""c45""	""d45""	""a46""	""b46""	""c46""	""d46""	""a47""	""b47""	""c47""	""d47""	""a48""	""b48""	""c48""	""d48""	""a49""	""b49""	""c49""	""d49""	""a50""	""b50""	""c50""	""d50"""
"90	""PB544 lldm2 corrected_bw.txt""	9.28093	""R""	0.59404	0	0	0.53549	0.00596	0.00006	-0.00128	-0.00649	0.00488	-0.00101	-0.00188	0.01601	0.00484	-0.00174	-0.00148	0.00061	-0.00364	-0.00031	0.00125	-0.00178	-0.00114	-0.00098	0.00178	0.00526	-0.00093	0.00213	0.00226	-0.0011	-0.00177	0.00008	-0.00039	-0.00311	-0.00044	0.00171	-0.00179	0.00087	0.00006	-0.0005	-0.00039	0.00049	-0.00021	-0.00011	-0.00033	-0.00085	-0.00024	-0.00051	0.00012	0.00019	-0.00006	-0.00011	0.00045	0.00043	-0.00006	-0.00023	0.00008	-0.00033	0.00005	-0.00033	-0.00069	-0.00037	0.00032	-0.00028	-0.00012	-0.00019	0.00013	-0.00045	0.0004	0.00017	0.00014	-0.00029	0.00006	0.00046	0.00002	-0.00016	-0.00002	-0.00004	-0.00009	-0.00006	0.0002	-0.00021	0.00023	0.00002	0.00014	-0.00021	0.00011	-0.00012	-0.00021	-0.00005	0.00026	0.00002	-0.00014	0.00011	0.00007	-0.0002	0.00003	0.00011	0.00006	0.00006	0.00019	0.00008	0.00004	-0.00004	0.00016	-0.00004	-0.00005	0.00018	-0.00003	0.00007	0.00003	0	-0.00012	0.00003	-0.00005	0	-0.00013	-0.00007	-0.00006	-0.00011	-0.00005	0.00006	-0.00003	-0.00004	0.00004	0.00002	-0.00003	-0.00002	0.00012	-0.00008	-0.00003	-0.00003	-0.00002	-0.00001	0.0001	0.00003	-0.00003	-0.00007	-0.00002	-0.00002	0.00004	0	0.00009	0.00003	0.00004	0.00007	-0.00009	0.00001	0	0.00006	0.00001	0.00002	-0.00003	0.00002	-0.00003	0.00001	0	-0.00009	0.00003	0.00002	0.00003	-0.00005	0.00005	-0.00005	-0.00006	-0.00001	-0.00001	0.00001	-0.00003	0.00007	0.00006	-0.00007	0.00002	0.00001	-0.00007	0	0.00001	0	0.00004	0	0.00006	0.00002	-0.00004	-0.00001	-0.00002	-0.00002	0	0.00004	0	0.00001	0.00001	-0.00001	0.00003	-0.00003	-0.00003	0.00003	-0.00001	0.00003	0.00001	0.00001	-0.00002	0.00003"
"91	""PB601 lrdm2 flipped_bw.txt""	9.31525	""R""	0.59674	0	0	0.53325	-0.00526	-0.00239	-0.0032	0.00469	0.00679	-0.00968	-0.01148	0.01404	-0.00371	-0.00373	-0.00212	-0.00103	-0.00124	-0.0082	0.00443	-0.00268	-0.00379	-0.0014	0.00338	0.00247	0.00256	-0.002	0.00194	-0.00248	-0.00174	0.00006	-0.00143	-0.00326	0.00197	-0.00062	-0.00055	0.00145	0.00014	-0.00039	0.00034	0.00012	0.00056	-0.00084	-0.00004	0.00006	0.00006	-0.00008	-0.00029	0.00009	0.00032	-0.00038	0.00062	0.00009	0.00006	-0.00034	0.00006	-0.00028	-0.00006	0.00012	0.00024	0.00038	0.00038	-0.00028	-0.00005	-0.00036	-0.00011	0.00022	-0.00014	-0.00034	0.00031	-0.00017	0.00014	0.0003	0	0.00005	-0.00002	0.00015	0.00009	0.00011	0.00012	-0.00004	-0.00002	0.00001	-0.00003	-0.0001	-0.00009	0.00009	0	0.00019	-0.00002	-0.00009	-0.0001	0.00009	-0.00004	0.00004	0.00001	-0.00021	-0.00006	-0.00002	0.00011	-0.00009	0.00002	0	-0.00003	0.00016	-0.00004	0	-0.00006	0.00008	-0.00003	0.00004	0.00003	-0.00005	-0.00008	-0.00004	-0.00002	-0.00003	-0.00004	0.00006	-0.00001	0.00006	0.00002	-0.00003	0.00006	-0.00005	-0.00006	0.00004	-0.00002	0.00001	0.00004	0.00006	0.00004	0.00001	0	-0.00002	-0.00007	-0.00009	0	0.00009	-0.00001	0.00005	0.00004	-0.00008	-0.00003	0.00003	-0.00004	0.00002	-0.00007	-0.00001	-0.00002	-0.00007	0	0.00005	-0.00002	-0.00003	0	0.00002	-0.00004	-0.00003	0.00004	-0.00003	-0.00003	-0.00001	0	0.00001	-0.00005	0.00001	-0.00001	0.00002	-0.00006	0.00005	0.00004	0.00002	-0.00003	0.00001	0	-0.00006	-0.0001	0.00004	-0.00007	0.00004	-0.00002	0	-0.00001	0.00003	-0.00005	0	0	-0.00007	-0.00002	-0.00001	-0.00001	-0.00002	0	-0.00001	-0.00003	0.00002	0	0.00002	0.00005	-0.00001"
"92	""PB623 lldm1_bw.txt""	7.77871	""R""	0.60103	0	0	0.52938	0.00804	-0.00691	-0.01631	-0.00311	0.00725	0.00715	0.013	0.01802	0.00798	-0.00462	0.00656	-0.004	-0.00835	0.00321	-0.01004	0.00287	0.00336	0.00008	-0.00057	0.00662	-0.00596	-0.00121	0.004	-0.00215	0.00006	0.0004	-0.00014	-0.00138	-0.00372	0.00046	-0.00045	0.00028	0.00056	0.00088	0.00001	-0.00036	-0.00069	-0.00025	0.00006	-0.00237	0.00038	0.00028	-0.00068	0.00011	0.00003	-0.00026	-0.00003	0.00123	0.00028	0.00015	0.00002	-0.00024	0.00007	-0.00083	-0.00034	-0.00043	0.00008	0.0004	0.00052	0.00009	0.00001	-0.00045	0.00037	0.00056	0.00038	0.00048	-0.00021	-0.00028	-0.00011	-0.00009	0.00027	-0.00027	0.00012	0.00012	-0.00017	0.0003	0.00014	0.00001	-0.00042	0.00008	0.00004	-0.00016	-0.00009	-0.00017	0.00003	-0.00019	0.00014	-0.00003	0.00007	-0.00004	0.00019	0.00007	0.00005	0.00009	0.00005	0.00004	0.00006	0.00005	0.00005	-0.00006	0.00002	0.00001	-0.00009	-0.00009	0.00005	0.00012	0.00001	0.00006	-0.00003	-0.00001	0.00002	0.00017	0.00011	0.00009	-0.00004	-0.00013	-0.00013	0.00006	0.00008	-0.00008	0.00005	0	-0.00011	0.00019	-0.00001	0.00013	0.00001	-0.00002	-0.00007	0.00003	0.00014	-0.00005	-0.00004	0.00003	-0.00006	0.00002	-0.00005	0.00015	0.00001	-0.00001	0.00001	0.00004	0.00005	-0.00006	-0.00001	0.00013	0	-0.00002	-0.00004	-0.00003	-0.00008	0.00008	-0.00003	0.00008	-0.00009	0.00003	-0.00012	-0.00005	0.00004	0.00007	-0.00005	-0.00001	0.00002	0	-0.00009	0.00001	0.00003	-0.00009	-0.00004	0.00002	0.00001	-0.00002	0.00001	0	-0.00003	-0.00001	-0.00003	0	-0.00001	0.00001	-0.00001	-0.00005	-0.00003	0.00004	-0.00003	0.00002	0.00002	0.00001	-0.00003	-0.00004	0.00003	-0.00002	0	0.00001	-0.00002	-0.00004"
"93	""PB623 lldm2_bw.txt""	9.38788	""R""	-0.59456	0	0	-0.53541	0.01198	-0.00223	-0.00169	-0.01251	0.00152	-0.00286	-0.00292	-0.02522	0.00629	-0.00552	-0.00575	0.00669	0.00873	0.00036	0.00591	0.0061	-0.00077	-0.00364	0.00474	0.0024	0.00207	-0.00076	-0.00657	0.0012	-0.00031	0.00049	0.00034	-0.0028	0.00067	-0.00159	0.00333	-0.00039	0.00132	-0.0001	-0.00123	0.00001	-0.00032	0.00009	-0.00035	0.00134	0.00063	-0.00077	0.00001	0.00091	-0.00039	-0.00014	-0.00023	-0.00092	0.0004	-0.00061	0.00014	-0.0005	-0.00056	-0.0003	-0.00028	0.00044	0.00053	-0.00031	0.0002	-0.00004	-0.00039	-0.00033	0.00021	-0.00001	0.00017	0.00008	0.00004	0.00036	-0.00022	0.00007	0.00005	-0.00021	-0.00012	0.00025	0.00002	0.00003	0	0.00006	-0.00001	-0.00013	-0.00011	0.00013	-0.00002	-0.00001	-0.00004	-0.00002	-0.00018	0.00033	0.00002	0.00001	-0.0001	-0.00018	-0.00014	-0.0001	0.0001	-0.00016	0.00006	0.00006	0.00009	0.00014	0	0.00005	0.00014	-0.00007	0.00003	0.00004	-0.00002	-0.00001	0.00005	-0.00004	-0.00025	0.00002	0.00006	0	0.00003	-0.00002	-0.00003	-0.00011	0.00009	0.0001	0.00006	-0.00006	-0.00006	-0.00004	-0.00009	-0.00007	0.00005	-0.00006	-0.00001	-0.00002	0.00003	0.00011	-0.00003	0.00001	-0.00001	-0.00004	-0.00008	0.00006	0.00006	0.00001	-0.00001	0.00002	-0.00002	0	-0.00003	0.00007	-0.00002	-0.00008	0	0.00004	0.00005	0.00004	0.00001	-0.00001	-0.00007	0.00003	-0.00002	0.00003	-0.00002	-0.00001	-0.00001	-0.00003	0.00002	0.00003	-0.00001	-0.00002	-0.00005	-0.00002	-0.00001	0.00002	0.00007	-0.00002	-0.00001	-0.00005	0.00001	0.00002	0.00002	0	-0.00007	-0.00001	0.00002	-0.00001	0.00003	-0.00002	0.00001	-0.00002	0.00001	0.00003	0.00004	0.00001	0.00001	-0.00002	0	0.00002	0.00003	0"
"94	""PB636 lldm2_bw.txt""	7.90506	""R""	0.59732	0	0	0.53238	0.00425	-0.00015	0.00045	-0.00534	0.00587	0.00092	0.00089	0.01745	0.00184	-0.00309	-0.0046	0.00318	-0.00397	-0.00061	-0.00236	-0.00214	-0.00089	-0.00271	0.00273	0.00084	-0.00185	0.00046	0.003	0.00039	-0.0005	-0.00056	-0.00027	-0.00106	-0.00096	0.00097	-0.00148	-0.00079	0.00048	-0.00021	0.00044	-0.00028	0.00034	-0.00036	-0.00031	-0.00075	-0.00015	-0.00034	-0.00069	0.00085	0.00049	-0.00027	0.00036	0.00045	-0.00029	-0.00025	0.00053	-0.00053	0.00023	0.00007	0.00005	-0.00015	0	0.00011	-0.00003	0.00017	-0.00006	0.00005	-0.00005	0.00042	-0.0001	0.00005	-0.00008	-0.00002	-0.00027	-0.00007	-0.00013	-0.00016	-0.00024	0.00011	0.00015	0.0002	-0.00007	0.00001	0.00016	-0.00003	-0.00017	0.00002	-0.00022	-0.00021	0.00007	0.00003	-0.00009	-0.00018	0.00006	-0.00004	0.00016	-0.00008	0.00002	0.00002	0.00004	0.00021	-0.00005	-0.00003	-0.00016	0.00017	-0.00005	0.00004	0	-0.0001	-0.00007	-0.00002	0.00013	-0.00009	-0.00006	0	-0.00006	0.00014	-0.00012	-0.00003	-0.0001	0.00011	-0.00004	-0.00003	0.00003	-0.00015	-0.00006	0.00003	0.00013	-0.00013	0.00003	0.00001	-0.00002	0.00004	-0.00002	0.00006	-0.00009	0.00004	0.00008	0	0.00001	-0.00007	-0.00003	0.00001	0.00002	0.00001	0.00007	0.00004	0.00002	0.00004	-0.00002	-0.00004	-0.00004	-0.00003	0.00007	0.00006	0.00003	-0.00003	0.00001	-0.00002	0.00005	0.00001	0.00002	0.00003	-0.00008	0.00004	-0.00001	0.00001	0	0.00002	-0.00007	-0.00003	0.00001	0.00007	-0.00001	-0.00002	-0.00004	0	-0.0001	0	0.00003	-0.00002	0.00001	-0.00005	0.00001	-0.00003	-0.00004	0.00003	0.00003	-0.00005	0.00005	0.00001	0.00006	-0.00003	0.00002	0.00001	-0.00004	-0.00002	0.00004	0.00003	-0.00003	0.00002"
"95	""PB637 lrdm2 flipped_bw.txt""	9.28689	""R""	0.6009	0	0	0.52921	0.00449	-0.00231	-0.00385	-0.00569	0.0062	0.00444	0.00415	0.0194	0.00329	-0.0065	-0.00575	0.0023	-0.00475	0.00079	-0.00524	-0.00162	-0.00075	-0.0048	0.00379	0.00267	-0.00268	0.00033	0.00423	0.0001	-0.00133	-0.00009	0.0014	-0.00138	-0.00134	0.00128	-0.00172	-0.0012	0.00043	0.00045	-0.00081	-0.00084	0.00012	-0.00019	-0.00026	-0.00056	0.00013	-0.00023	-0.00045	0.00113	-0.00011	-0.00036	0.00007	0.00079	-0.0001	-0.00017	0.0004	-0.00058	-0.00018	-0.00002	0.00036	-0.00034	0.00019	0.0003	0.00016	0.00016	0.00014	0.00008	-0.00006	-0.00014	0.00024	0.00001	-0.00035	-0.00035	0.00017	-0.00022	-0.00038	0.00011	0.00003	-0.00001	0.00014	0.00052	0.00003	-0.00025	0.00024	0.00008	-0.00006	0.00011	0.00008	-0.00032	0.00003	-0.00002	0.0001	0.00002	0.00011	0.00018	0.00008	0.00007	0.00009	0	-0.00008	-0.00016	-0.00007	-0.00004	-0.00023	0.00009	0.00008	0.00001	0.00006	0.00014	-0.00012	-0.00016	-0.00004	-0.00003	0.00001	-0.00009	-0.00018	-0.00001	0.00002	-0.00008	0.00017	-0.0001	0.00006	-0.00014	0.00007	-0.00006	0.00014	-0.00005	-0.00008	-0.00004	0.00007	0	0.00009	0.00001	0.00006	-0.00008	-0.00001	0.00012	0.00009	0.00005	-0.00002	-0.00005	-0.00001	0.00001	0.00009	-0.00002	0.00003	0.00004	-0.00002	0.00009	0.00008	0.00005	-0.00002	-0.00007	-0.00001	0.00005	0.00006	-0.00003	0.00007	-0.00004	-0.00009	0.00006	-0.00003	0.00006	-0.00003	0.00002	-0.00001	-0.00001	0.0001	0.00002	-0.00001	0.00001	-0.00004	-0.00003	-0.00002	0.00007	0	-0.00001	0.00002	-0.00002	0.00002	-0.00001	0	0.00002	-0.00006	-0.00001	-0.00001	-0.00002	0	0.00004	0	0	0.00002	-0.00002	-0.00002	-0.00003	-0.00003	-0.00002	-0.00001	0.00001	-0.00001	0.00003"
"96	""PB649 lrdm2 flipped_bw.txt""	9.02207	""R""	0.596	0	0	0.53371	0.00588	-0.00346	-0.00308	-0.00678	0.00463	0.00242	0.00205	0.0178	0.00024	-0.00412	-0.00181	0.00648	-0.0033	0.00092	-0.00191	-0.00354	-0.00304	-0.00094	0.00367	-0.00024	0.00008	0.00028	0.00093	-0.00039	-0.00094	0.00072	-0.00121	-0.00173	0.0003	0.00022	-0.00053	-0.00005	0.00049	0.00016	0.0002	-0.00003	-0.00023	0.00017	0.00032	0.0005	0.00037	0.0004	0.00021	0.00026	-0.00054	0.00005	-0.00033	0.00009	0.0003	0.00013	-0.00042	-0.00016	-0.00042	0.00007	0.00038	-0.00016	0.00014	-0.00008	0.00017	0.0002	-0.00011	0.00016	-0.00023	-0.00019	-0.00009	-0.00016	-0.00024	0.00009	0.00006	0.00006	0.00008	0.00001	-0.00015	-0.00015	0.00015	-0.00002	-0.00002	0.00006	0.00002	0.00007	-0.00013	0.00001	0.00004	0.00005	-0.00008	-0.00007	-0.00014	0	0.00002	0.00003	-0.00002	-0.00022	-0.00007	-0.00012	0.00004	-0.00002	0.0001	0.00002	-0.00001	0.0001	-0.00007	-0.00006	0.00001	0.00003	0.00003	0	-0.00001	0.00003	-0.00012	0.00005	0.00009	0.00007	0.00004	0.00002	0.00003	-0.00008	-0.00006	0.00007	-0.00002	-0.0001	0.00002	0.00006	0.00004	0.00009	0.00004	0.00002	-0.00004	-0.00002	-0.00005	0.00002	-0.00009	-0.00001	0.00006	-0.00002	-0.00001	0	-0.00002	-0.00007	-0.00004	0	0.00001	-0.00002	0.00002	0.00005	0.00005	-0.00008	0.00004	-0.00008	-0.00002	0.00001	0.00001	-0.00002	0.00005	-0.00001	0.00004	0.00007	-0.00001	0	-0.00002	-0.00001	-0.00002	0	-0.00001	0.00002	0	0.00002	0.00003	0.00002	-0.00002	-0.00003	-0.00003	-0.00002	0.00001	0.00001	-0.00003	-0.00004	0.00002	-0.00003	0.00003	-0.00002	0.00001	-0.00002	-0.00002	0.00003	0.00005	-0.00001	-0.00002	-0.00002	0	-0.00002	0.00002	-0.00001	0.00001	0.00003	0.00006	0.00006"
"97	""PB674 lrdm2 flipped_bw.txt""	8.7767	""R""	0.6013	0	0	0.52597	0.02672	-0.00173	0.00687	0.01671	-0.00396	0.01124	-0.0031	0.00243	0.00943	-0.00315	0.00921	0.01646	-0.0087	0.00222	-0.01752	-0.00271	-0.00093	0.00053	0.01101	0.00269	-0.00396	-0.00024	-0.00084	-0.00285	-0.00019	0.00188	0.00382	-0.00562	-0.00088	0.00141	-0.00676	0.00294	0.00109	-0.00004	0.00199	-0.0021	-0.00039	-0.00073	-0.00211	0.00423	-0.00052	-0.00053	0.00129	-0.00281	-0.00064	0.00029	0.00154	0.00313	-0.00032	0.00013	-0.0003	-0.00383	0.00032	0.00068	0.00072	0.00163	0.00031	-0.00011	-0.0023	-0.00202	0.0005	-0.00006	0.0015	0.00169	0.00001	-0.00027	-0.00194	-0.0002	0.00007	-0.00016	0.00231	0.00041	-0.00018	0.00022	-0.00134	0.00007	0.00023	-0.00009	0.0015	-0.00087	-0.00005	0.00033	-0.00147	0.00085	0.00021	-0.00032	0.00074	-0.00103	-0.00009	0.00013	-0.00068	0.00125	0	-0.00019	0.00042	-0.00101	-0.00008	0.00014	0.00012	0.00114	0.00002	-0.0001	-0.0003	-0.00114	0.0001	0.00013	0.00049	0.00065	-0.00003	-0.0002	-0.00068	-0.00058	0.00013	0.00007	0.00061	0.00055	-0.00017	-0.0001	-0.00064	-0.00017	0.00001	-0.00004	0.00066	0.00016	-0.0001	0.00008	-0.00054	0.00003	0.00007	-0.00005	0.00055	-0.00035	-0.00005	0.00004	-0.00047	0.00026	0.00016	-0.00008	0.00025	-0.0004	-0.00011	0.00005	-0.00015	0.00045	0.00006	-0.00003	0.00012	-0.0002	-0.00006	0.0001	0.00003	0.00029	-0.00002	0.00005	-0.00005	-0.00033	0.00005	0.00006	0.00014	0.00018	0.00002	0.00002	-0.00018	-0.0002	0.00004	0.00002	0.00011	0.0001	-0.00002	0	-0.00015	-0.00001	0.00008	0.00002	0.00012	0	-0.00003	0	-0.00009	0.00002	0.0001	-0.00003	0.00005	-0.00002	-0.00005	-0.00002	-0.00003	0.00003	0.00002	-0.00003	0.00005	0.00002	-0.00007	-0.00002	-0.00002	0.00003"
"98	""PB787 lrdm2 flipped_bw.txt""	8.7826	""R""	0.5928	0	0	0.53672	0.00572	-0.00286	-0.00407	-0.0082	0.00413	0.00335	0.00278	0.01638	0.00055	-0.00397	-0.00196	0.00745	-0.00421	-0.00042	-0.00456	-0.00132	-0.00427	-0.00143	0.00365	0.00079	-0.00071	-0.00033	0.00362	-0.00209	-0.00174	0.00081	-0.00064	-0.0026	0.00066	0.00089	-0.0015	-0.00008	0.00044	-0.00047	-0.0012	-0.00012	0.00048	-0.00025	-0.00032	0.00032	0.00017	-0.00008	0.00137	0.00062	-0.00003	0.00008	0.00062	0.00031	-0.00028	0.00065	-0.00013	0.00003	0.00015	0.0003	-0.00001	-0.00046	-0.00019	0.00012	-0.00039	-0.00018	0.00023	0.00002	-0.00043	0.00024	-0.00017	-0.00025	-0.0001	0.00007	0.00005	-0.0002	0.00007	0.00001	-0.00001	-0.00021	0.00017	-0.00011	0.00009	-0.00003	0.0002	-0.00007	0.00013	-0.00006	0	-0.00008	0.00001	0.00002	-0.00015	0.00009	0.00014	-0.00004	0.00003	0	-0.00003	0.00005	0.00013	0.00002	-0.00003	0.00002	0.00002	0.00023	-0.00005	0.0001	-0.00004	-0.00001	-0.00002	0.00004	0.00001	-0.00025	-0.00001	-0.00002	-0.00009	-0.00005	0.00008	0	-0.00008	0.00008	-0.00004	-0.00009	-0.00002	0.00009	-0.00003	-0.00002	0.00005	0.00009	-0.00003	-0.00006	0.00006	-0.00007	0.00002	0.00008	0.00009	-0.00014	0.00004	0.00002	0.00005	-0.00001	0.00009	0.00005	-0.00009	0.00003	0.00002	0.00002	-0.00007	0.00002	0.00002	-0.00005	-0.00004	0.00005	0.00001	-0.00001	0.00001	0.00001	0.00001	0.00001	0.00009	-0.00002	0	-0.00005	-0.00002	-0.00001	0.00005	0.00001	-0.00005	-0.00005	0.00001	-0.00004	0.00004	-0.00002	0.00003	-0.00001	0.00002	0.00006	0.00002	0.00002	0.00001	0.00001	0.00002	-0.00001	-0.00001	-0.00004	0.00001	0	-0.00001	0.00001	0.00004	-0.00001	0.00001	0	-0.00001	-0.00001	0.00001	0.00001	0.00002	-0.00001	-0.00002	0.00002"
"99	""PB833 lldm2 corrected_bw.txt""	8.61815	""R""	-0.59451	0	0	-0.5351	0.00942	0.00272	0.00588	-0.01131	-0.00585	-0.00118	-0.00101	-0.01604	0.00555	0.00012	-0.00562	0.00469	0.00182	0.00002	0.00162	0.00394	-0.00042	-0.0008	0.00327	0.0017	-0.00012	-0.00138	-0.00297	-0.00132	-0.00152	0.00111	-0.00032	0.00023	0.00071	-0.00173	0.00147	-0.00009	-0.0001	0.00045	-0.00032	-0.00157	0.00038	-0.00065	-0.00032	0.00044	0.00028	0.00013	-0.00013	0.00089	0.0002	0.00002	0.0009	-0.00005	0.00013	-0.00023	-0.00027	-0.00053	0.00016	-0.00004	-0.00069	-0.00012	0.00011	-0.00016	0.00022	0.0003	0.0001	-0.00015	0.0003	0.00023	-0.00001	-0.00016	-0.00006	0	0.00004	0.00007	0.00002	-0.00017	-0.00007	-0.00012	0.00001	-0.00004	0.00025	0.00018	0.00002	-0.00004	0	-0.00004	0.0001	-0.00002	0.00003	0.00009	-0.00005	0.0002	-0.00001	0.00002	-0.00007	0.00005	-0.00002	0.00004	-0.00004	-0.00007	-0.00008	-0.00004	0.00004	0.00005	0.00014	-0.00004	-0.00004	-0.00018	-0.00005	0.00007	0.00005	-0.00006	0.00008	-0.00009	-0.00003	0.00022	-0.00002	0.00002	-0.00007	0.00003	-0.00007	-0.00007	0.00003	-0.00004	-0.00006	-0.00005	-0.00001	0.00001	-0.00005	-0.00008	-0.00002	0	0	-0.00004	-0.00001	-0.00008	0.00002	-0.00007	0.00001	-0.00006	0.00005	-0.00001	0.00004	0.00003	0.00003	0.00004	0.00009	0.00003	0.00003	-0.00002	-0.00006	0	0.00002	0.00009	-0.00003	0	0.00001	-0.00002	0.00006	-0.00002	-0.00002	0	-0.00008	0.00005	0.00006	0	-0.00004	-0.00003	-0.00005	-0.00001	0.00008	-0.00001	0.00003	-0.00004	-0.00001	0.00005	0.00003	0.00001	-0.00006	-0.00009	-0.00005	0.00002	0.00007	0.00005	0.00003	-0.00004	-0.00001	0.00006	-0.00004	0.00007	-0.00001	-0.00004	0	-0.00002	0.00003	-0.00002	-0.00002	0.00004	-0.00002	0"
"100	""PB868 lrdm2 flipped_bw.txt""	8.5221	""R""	0.6004	0	0	0.52966	0.00437	0	0.00237	-0.00618	0.00171	0.00171	0.00364	0.02617	0.00272	-0.00328	-0.00708	0.00394	-0.00885	-0.00217	-0.0078	-0.00417	-0.0009	-0.00334	0.00421	0.00102	-0.00302	-0.00097	0.00705	-0.0019	-0.00041	-0.0007	-0.00061	-0.00118	-0.00076	0.00152	-0.00209	-0.00004	0.00144	-0.00047	-0.00022	-0.0014	-0.00031	0.00024	-0.00052	-0.00036	0.00077	-0.00024	0.00031	0.00142	-0.00057	-0.00012	0.0005	0.00085	-0.00018	-0.00012	-0.00034	0.00029	-0.00035	-0.00006	-0.00024	-0.0005	-0.00029	0.00021	0.00054	-0.00059	0.00018	-0.00007	0.00026	-0.0004	0.00001	0.00007	-0.00041	0.0001	0.00021	-0.00019	-0.00033	0.00037	0.00012	-0.00005	-0.00012	0	-0.00009	-0.00012	0.00025	0.00011	-0.00004	0.00004	0.00027	-0.00004	-0.00014	-0.0001	-0.00004	-0.00003	-0.00001	0.00021	0.00003	0.00011	0.00007	-0.00019	-0.00018	-0.00019	-0.00005	0.00017	-0.00019	-0.00018	0	-0.0002	0.0001	0.00018	-0.00008	0.00006	0.00013	0.00019	-0.0001	-0.00005	0.00008	0.00007	-0.00009	0.00014	0	-0.00009	0.00007	0.00003	-0.00005	-0.00023	-0.00008	0.00008	-0.00004	0	0.00013	-0.00005	-0.00003	0.00008	-0.0001	-0.00003	-0.00005	0.00006	0.00008	0	0.00002	0.00005	-0.00002	-0.00003	0.00001	-0.00011	-0.00002	0.00009	0.00005	0.00002	0.00006	0.00001	0.0001	0.00001	-0.00001	0.00005	-0.00005	-0.00001	0.00005	0.00001	-0.00008	0.00004	-0.00001	0.00001	-0.00004	-0.00001	0	0.00001	0.00004	0	-0.00003	0.00004	0.00008	0	0.00002	0.00002	0	-0.00003	-0.00002	0.00002	-0.00007	0.00002	0.00003	-0.00001	-0.00004	0.00003	-0.00005	0	0.00001	0	-0.00003	0.00002	0.00005	0.00001	0	-0.00002	0.00001	-0.00005	-0.00003	0.00004	0	0.00002"
